uuid,name,superClass,interfaces,isInterface,hasSuperClass,hasInterfaces,fields
d69d5d3a-bc85-4e37-b3cd-0e2bc4ff4324,java.util.stream.FindOps,,,false,false,false,
ba8c127b-676b-4d71-9508-8c47f619d25f,java.util.IllegalFormatPrecisionException,java.util.IllegalFormatException,,false,true,false,"[""p"",""2"",""int""]|[""serialVersionUID"",""26"",""long""]"
eb0a9b5c-fa20-45cd-b1f9-8dc72c1c1375,java.lang.Integer$IntegerCache,,,false,false,false,"[""$assertionsDisabled"",""4120"",""boolean""]|[""high"",""24"",""int""]|[""low"",""24"",""int""]|[""cache"",""24"",""java.lang.Integer[]""]"
36c6f4e2-3ce7-4308-bebf-b06e902c095b,java.lang.invoke.MethodHandleInfo,,,true,false,false,"[""REF_getField"",""25"",""int""]|[""REF_invokeStatic"",""25"",""int""]|[""REF_newInvokeSpecial"",""25"",""int""]|[""REF_invokeVirtual"",""25"",""int""]|[""REF_putStatic"",""25"",""int""]|[""REF_invokeSpecial"",""25"",""int""]|[""REF_putField"",""25"",""int""]|[""REF_getStatic"",""25"",""int""]|[""REF_invokeInterface"",""25"",""int""]"
319c473b-469a-4277-8622-604c36094da6,java.text.DateFormat,java.text.Format,,false,true,false,"[""YEAR_FIELD"",""25"",""int""]|[""TIMEZONE_FIELD"",""25"",""int""]|[""DAY_OF_WEEK_IN_MONTH_FIELD"",""25"",""int""]|[""HOUR0_FIELD"",""25"",""int""]|[""MEDIUM"",""25"",""int""]|[""ERA_FIELD"",""25"",""int""]|[""MILLISECOND_FIELD"",""25"",""int""]|[""SHORT"",""25"",""int""]|[""LONG"",""25"",""int""]|[""MONTH_FIELD"",""25"",""int""]|[""MINUTE_FIELD"",""25"",""int""]|[""SECOND_FIELD"",""25"",""int""]|[""calendar"",""4"",""java.util.Calendar""]|[""AM_PM_FIELD"",""25"",""int""]|[""HOUR_OF_DAY0_FIELD"",""25"",""int""]|[""HOUR_OF_DAY1_FIELD"",""25"",""int""]|[""HOUR1_FIELD"",""25"",""int""]|[""FULL"",""25"",""int""]|[""WEEK_OF_YEAR_FIELD"",""25"",""int""]|[""DATE_FIELD"",""25"",""int""]|[""DAY_OF_WEEK_FIELD"",""25"",""int""]|[""DAY_OF_YEAR_FIELD"",""25"",""int""]|[""numberFormat"",""4"",""java.text.NumberFormat""]|[""serialVersionUID"",""26"",""long""]|[""DEFAULT"",""25"",""int""]|[""WEEK_OF_MONTH_FIELD"",""25"",""int""]"
cf41355b-25b1-4677-8632-8c5e6c28d510,java.time.DateTimeException,java.lang.RuntimeException,,false,true,false,"[""serialVersionUID"",""26"",""long""]"
3d28db22-9591-470a-930f-f5b37ad66885,sun.net.PortConfig,,,false,false,false,"[""defaultLower"",""10"",""int""]|[""lower"",""26"",""int""]|[""defaultUpper"",""10"",""int""]|[""upper"",""26"",""int""]"
51e5e830-33eb-4a17-928a-cb0c6c02d597,java.util.Vector$1,,java.util.Enumeration,false,false,true,"[""count"",""0"",""int""]|[""this$0"",""4112"",""java.util.Vector""]"
943a87ae-abcb-4481-aace-68ac4defa4cb,sun.reflect.DelegatingClassLoader,java.lang.ClassLoader,,false,true,false,
6cc29c66-7304-456c-8d93-4ca754eb36ce,java.nio.file.spi.FileTypeDetector,,,false,false,false,
facde86a-6cae-4570-a829-b0162f3e01a2,java.util.Locale$Builder,,,false,false,false,"[""localeBuilder"",""18"",""sun.util.locale.InternalLocaleBuilder""]"
